angry, 😠
blushing, 😊
broken heart, 💔
clapping, 👏
cool, 😎
crying, 😭
dancing, 💃
disappointed, 😞
eyes, 👀
happy, 😀
heart, ❤️
heart eyes, 😍
hugging, 🤗
kissing, 😗
monocle, 🧐
party, 🎉
pleading, 🥺
poop, 💩
rofl, 🤣
roll eyes, 🙄
sad, 🙁
shrugging, 🤷
shushing, 🤫
star eyes, 🤩
thinking, 🤔
thumbs down, 👎️
thumbs up, 👍️️
worried, 😟
