Application name, Spoken forms, Exclude, Unique Id, Path, Executable Name
GitHub Desktop,None,False,com.squirrel.GitHubDesktop.GitHubDesktop,C:\Users\knaus\AppData\Local\GitHubDesktop\GitHubDesktop.exe,GitHubDesktop.exe
Gmail,None,False,mail.google.com-FCFEA3FA_vq8mrer2vmnwe!App,C:\Program Files\Google\Chrome\Application\chrome_proxy.exe,chrome_proxy.exe
Gmail (1),None,False,Chrome._crx_fmgjjmmmlfcabfkddbjimcfncm,C:\Program Files\Google\Chrome\Application\chrome_proxy.exe,chrome_proxy.exe
Google Chrome,chrome,False,Chrome,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe
IDLE (Python 3.9 64-bit),None,True,Microsoft.AutoGenerated.{8A9D7F92-0092-4D5F-5858-5E3BEDCA8649},C:\Python\Python39\pythonw.exe,pythonw.exe
Internet Explorer,None,True,Microsoft.InternetExplorer.Default,C:\Program Files\Internet Explorer\iexplore.exe,iexplore.exe
KinesicMouse Live,None,True,{6D809377-6AF0-444B-8957-A3773F02200E}\Xcessity Software Solutions\KinesicMouse Live\KinesicMouse.exe,C:\Program Files\Xcessity Software Solutions\KinesicMouse Live\KinesicMouse.exe,KinesicMouse.exe
Krisp,None,True,{6D809377-6AF0-444B-8957-A3773F02200E}\Krisp\Krisp.exe,C:\Program Files\Krisp\Krisp.exe,Krisp.exe
Language Setup,None,True,{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\GOG Galaxy\Games\SimCity 3000 Unlimited\language_setup.exe,C:\Program Files (x86)\GOG Galaxy\Games\SimCity 3000 Unlimited\language_setup.exe,language_setup.exe
Local Security Policy,None,True,Microsoft.AutoGenerated.{BD3F924E-55FB-A1BA-9DE6-B50F9F2460AC},None,None
Magnifier,None,True,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\magnify.exe,C:\Windows\System32\Magnify.exe,magnify.exe
Mail,None,True,microsoft.windowscommunicationsapps_8wekyb3d8bbwe!microsoft.windowslive.mail,None,None
Maps,None,True,Microsoft.WindowsMaps_8wekyb3d8bbwe!App,None,None
Math Input Panel,None,True,{6D809377-6AF0-444B-8957-A3773F02200E}\Common Files\Microsoft Shared\Ink\mip.exe,C:\Program Files\Common Files\microsoft shared\ink\mip.exe,mip.exe
Media Player,None,True,Microsoft.ZuneMusic_8wekyb3d8bbwe!Microsoft.ZuneMusic,None,None
Microsoft 365 (Office),office hub,False,Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe!Microsoft.MicrosoftOfficeHub,None,None
Microsoft Accessory Center,accessory center,False,Microsoft.MicrosoftAccessoryCenter_8wekyb3d8bbwe!App,None,None
Microsoft Defender,defender,False,Microsoft.6365217CE6EB4_8wekyb3d8bbwe!App,None,None
Microsoft Edge,edge;portal,False,MSEdge,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,msedge.exe
Microsoft Store,store;app store,False,Microsoft.WindowsStore_8wekyb3d8bbwe!App,None,None
Microsoft Teams,teams,False,com.squirrel.Teams.Teams,C:\Users\knaus\AppData\Local\Microsoft\Teams\Update.exe,Update.exe
Mixed Reality Portal,None,True,Microsoft.MixedReality.Portal_8wekyb3d8bbwe!App,None,None
Movies & TV,None,True,Microsoft.ZuneVideo_8wekyb3d8bbwe!Microsoft.ZuneVideo,None,None
Narrator,None,True,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\narrator.exe,C:\Windows\System32\Narrator.exe,narrator.exe
News,None,True,Microsoft.BingNews_8wekyb3d8bbwe!AppexNews,None,None
Notepad,microsoft notepad,False,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\notepad.exe,C:\Windows\System32\notepad.exe,notepad.exe
Notepad++,note pad,False,{6D809377-6AF0-444B-8957-A3773F02200E}\Notepad++\notepad++.exe,C:\Program Files\Notepad++\notepad++.exe,notepad++.exe
ODBC Data Sources (32-bit),None,True,{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\odbcad32.exe,C:\Windows\SysWOW64\odbcad32.exe,odbcad32.exe
ODBC Data Sources (64-bit),None,True,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\odbcad32.exe,C:\Windows\System32\odbcad32.exe,odbcad32.exe
On-Screen Keyboard,None,True,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\osk.exe,C:\Windows\System32\osk.exe,osk.exe
OneDrive,None,True,Microsoft.SkyDrive.Desktop,C:\Program Files\Microsoft OneDrive\OneDrive.exe,OneDrive.exe
OneNote for Windows 10,one note,False,Microsoft.Office.OneNote_8wekyb3d8bbwe!microsoft.onenoteim,None,None
OptikeyMouse,None,True,{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Optikey Mouse\OptikeyMouse.exe,C:\Program Files (x86)\Optikey Mouse\OptikeyMouse.exe,OptikeyMouse.exe
PC Health Check,None,False,C:\Users\knaus\AppData\Local\PCHealthCheck\PCHealthCheck.exe,C:\Users\knaus\AppData\Local\PCHealthCheck\PCHealthCheck.exe,PCHealthCheck.exe
Paint,None,False,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\mspaint.exe,C:\Windows\System32\mspaint.exe,mspaint.exe
Paint 3D,None,True,Microsoft.MSPaint_8wekyb3d8bbwe!Microsoft.MSPaint,None,None
Phone Link,None,True,Microsoft.YourPhone_8wekyb3d8bbwe!App,None,None
Photos,None,False,Microsoft.Windows.Photos_8wekyb3d8bbwe!App,None,None
PowerToys (Preview),power toys,False,Microsoft.PowerToysWin32,C:\Program Files\PowerToys\PowerToys.exe,PowerToys.exe
Python 3.9 Manuals (64-bit),None,True,Microsoft.AutoGenerated.{5545A7B3-F168-04AE-E5C0-BF8D88AA9BD0},C:\Windows\hh.exe,hh.exe
Python 3.9 Module Docs (64-bit),None,True,Microsoft.AutoGenerated.{D1BBEC48-75A7-A7B9-F4AF-414C86CBC495},C:\Python\Python39\python.exe,python.exe
Python 3.9 Module Docs (64-bit),None,True,Microsoft.AutoGenerated.{D1BBEC48-75A7-A7B9-F4AF-414C86CBC495},C:\Python\Python39\python.exe,python.exe
Quick Assist,None,True,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\quickassist.exe,C:\Windows\System32\quickassist.exe,quickassist.exe
RSIGuard Stretch Edition,None,True,{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\RSIGuard\RSIGuard.exe,C:\Program Files (x86)\RSIGuard\RSIGuard.exe,RSIGuard.exe
Recovery Drive,None,True,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\RecoveryDrive.exe,C:\Windows\System32\RecoveryDrive.exe,RecoveryDrive.exe
Registry Editor,reg edit,False,{F38BF404-1D43-42F2-9305-67DE0B28FC23}\regedit.exe,C:\Windows\regedit.exe,regedit.exe
Remote Desktop Connection,remote desktop,False,Microsoft.Windows.RemoteDesktop,C:\Windows\System32\mstsc.exe,mstsc.exe
Resource Monitor,None,False,Microsoft.AutoGenerated.{C804BBA7-FA5F-CBF7-8B55-2096E5F972CB},C:\Windows\System32\perfmon.exe,perfmon.exe
Settings,None,False,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,None,None
SimCity 3000 Unlimited,None,True,{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\GOG Galaxy\Games\SimCity 3000 Unlimited\Apps\SC3U.exe,C:\Program Files (x86)\GOG Galaxy\Games\SimCity 3000 Unlimited\Apps\SC3U.exe,SC3U.exe
Skype,None,False,Microsoft.SkypeApp_kzf8qxf38zg5c!App,None,None
Slack,slack app,True,com.squirrel.slack.slack,C:\Users\knaus\AppData\Local\slack\slack.exe,slack.exe
Slack,slack app,True,app.slack.com-5C62D927_366e83yqjt2rw!App,C:\Users\knaus\AppData\Local\slack\slack.exe,slack.exe
Snip & Sketch,None,False,Microsoft.ScreenSketch_8wekyb3d8bbwe!App,None,None
Snipping Tool,None,False,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\SnippingTool.exe,C:\Windows\System32\SnippingTool.exe,SnippingTool.exe
Solitaire & Casual Games,solitaire,True,Microsoft.MicrosoftSolitaireCollection_8wekyb3d8bbwe!App,None,None
Spotify,None,True,SpotifyAB.SpotifyMusic_zpdnekdrzrea0!Spotify,None,None
Star Trek - Starfleet Command,star fleet command,True,{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\GOG Galaxy\Games\Star Trek - Starfleet Command\sfc.exe,C:\Program Files (x86)\GOG Galaxy\Games\Star Trek - Starfleet Command\sfc.exe,sfc.exe
Star Trek Voyager Elite Force Holomatch,elite force,False,{6D809377-6AF0-444B-8957-A3773F02200E}\Star Trek Voyager Elite Force Holomatch\cMod-stvoyHM.exe,C:\Program Files\Star Trek Voyager Elite Force Holomatch\cMod-stvoyHM.exe,cMod-stvoyHM.exe
Star Trek™ - Armada,armada,False,Microsoft.AutoGenerated.{BF686569-75A9-FC93-C9B6-C01B45EE5C88},C:\Program Files (x86)\GOG Galaxy\GalaxyClient.exe,GalaxyClient.exe
Steps Recorder,None,True,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\psr.exe,C:\Windows\System32\psr.exe,psr.exe
Sticky Notes,stickes;sticky notes,False,Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe!App,None,None
System Configuration,None,False,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msconfig.exe,C:\Windows\System32\msconfig.exe,msconfig.exe
