Application name, Spoken forms, Exclude, Unique Id, Path, Executable Name
podcasts,None,False,com.apple.podcasts,/System/Applications/Podcasts.app,Podcasts
preview,None,False,com.apple.preview,/System/Applications/Preview.app,Preview
print center,None,False,com.apple.printcenter,/System/Applications/Utilities/Print Center.app,Print Center
python 3,None,True,org.python.idle,/Applications/Python 3.12,idle
python 3,None,True,org.python.pythonlauncher,/Applications/Python 3.12,python launcher
quicktime player,None,False,com.apple.quicktimeplayerx,/System/Applications/QuickTime Player.app,QuickTime Player
rango for safari,None,False,app.rango.rango,/Applications/Rango for Safari.app,Rango for Safari
reminders,None,False,com.apple.reminders,/System/Applications/Reminders.app,Reminders
rsiguard,None,False,com.enviance.rsiguard,/Applications/RSIGuard.app,RSIGuard
safari,None,False,com.apple.safari,/Applications/Safari.app,Safari
screen sharing,None,False,com.apple.screensharing,/System/Applications/Utilities/Screen Sharing.app,Screen Sharing
screenshot,None,False,com.apple.screenshot.launcher,/System/Applications/Utilities/Screenshot.app,Screenshot
script editor,None,False,com.apple.scripteditor2,/System/Applications/Utilities/Script Editor.app,Script Editor
shortcuts,None,False,com.apple.shortcuts,/System/Applications/Shortcuts.app,Shortcuts
siri,None,True,com.apple.siri.launcher,/System/Applications/Siri.app,Siri
skype,None,False,com.skype.skype,/Applications/Skype.app,Skype
slack,None,False,com.apple.safari.webapp.a240b276-0efc-4a6c-b441-34814cca8028,/Users/knausj/Applications/Slack.app,None
spotify,None,False,com.spotify.client,/Applications/Spotify.app,Spotify
steam,None,False,com.valvesoftware.steam,/Applications/Steam.app,steam_osx
stickies,None,False,com.apple.stickies,/System/Applications/Stickies.app,Stickies
stocks,None,False,com.apple.stocks,/System/Applications/Stocks.app,Stocks
system information,information,False,com.apple.systemprofiler,/System/Applications/Utilities/System Information.app,System Information
system settings,settings,False,com.apple.systempreferences,/System/Applications/System Settings.app,System Settings
talon,None,True,com.talonvoice.talon,/Applications/Talon.app,Talon
teleparty for safari,None,True,com.teleparty.teleparty-for-safari,/Applications/Teleparty For Safari.app,Teleparty For Safari
terminal,terminal;command prompt,False,com.apple.terminal,/System/Applications/Utilities/Terminal.app,Terminal
textedit,text edit,False,com.apple.textedit,/System/Applications/TextEdit.app,TextEdit
time machine,None,False,com.apple.backup.launcher,/System/Applications/Time Machine.app,Time Machine
tips,None,True,com.apple.helpviewer,/System/Applications/Tips.app,Tips
turbotax 2022,None,True,com.intuit.turbotax.2022,/Applications/TurboTax 2022.app,TurboTax 2022
turbotax 2023,None,True,com.intuit.turbotax.2023,/Applications/TurboTax 2023.app,TurboTax 2023
tv,None,False,com.apple.tv,/System/Applications/TV.app,TV
twitter,None,True,maccatalyst.com.atebits.tweetie2,/Applications/Twitter.app,Twitter
ukelele,None,True,org.sil.ukelele,/Applications/Ukelele.app,Ukelele
utilities,None,True,com.apple.airport.airportutility,/System/Applications/Utilities,airport utility
utilities,None,True,com.apple.voiceoverutility,/System/Applications/Utilities,voiceover utility
utilities,None,True,com.apple.voiceoverutilitycachebuilder,/System/Applications/Utilities,voiceover utility
utilities,None,True,com.apple.terminal,/System/Applications/Utilities,terminal
utilities,None,True,com.apple.activitymonitor,/System/Applications/Utilities,activity monitor
utilities,None,True,com.apple.activitymonitor.helper,/System/Applications/Utilities,com.apple.activitymonitor.helper
utilities,None,True,com.apple.screenshot.launcher,/System/Applications/Utilities,screenshot
utilities,None,True,com.apple.grapher,/System/Applications/Utilities,grapher
utilities,None,True,com.apple.audio.audiomidisetup,/System/Applications/Utilities,audio midi setup
utilities,None,True,com.apple.screensharing,/System/Applications/Utilities,screen sharing
utilities,None,True,com.apple.systemprofiler,/System/Applications/Utilities,system information
utilities,None,True,com.apple.printcenter,/System/Applications/Utilities,print center
utilities,None,True,com.apple.migrateassistant,/System/Applications/Utilities,migration assistant
utilities,None,True,com.apple.scripteditor2,/System/Applications/Utilities,script editor
utilities,None,True,com.apple.script-editor-dummy.scptd,/System/Applications/Utilities,None
utilities,None,True,com.apple.colorsyncutility,/System/Applications/Utilities,colorsync utility
utilities,None,True,com.apple.colorsyncutility.devices,/System/Applications/Utilities,devices
utilities,None,True,com.apple.colorsyncutility.firstaid,/System/Applications/Utilities,firstaid
utilities,None,True,com.apple.colorsyncutility.filters,/System/Applications/Utilities,filters
utilities,None,True,com.apple.colorsyncutility.profiles,/System/Applications/Utilities,profiles
utilities,None,True,com.apple.colorsyncutility.calculator,/System/Applications/Utilities,calculator
utilities,None,True,com.apple.console,/System/Applications/Utilities,console
utilities,None,True,com.apple.diskutility,/System/Applications/Utilities,disk utility
utilities,None,True,com.apple.bluetoothfileexchange,/System/Applications/Utilities,bluetooth file exchange
utilities,None,True,com.apple.bootcampassistant,/System/Applications/Utilities,boot camp assistant
utilities,None,True,com.apple.bootcampassistant.installd,/System/Applications/Utilities,bootcampassistantinstalld
utilities,None,True,com.apple.digitalcolormeter,/System/Applications/Utilities,digital color meter
vimac,None,False,dexterleng.vimac,/Applications/Vimac.app,Vimac
visual studio code,None,False,com.microsoft.vscode,/Applications/Visual Studio Code.app,Electron
voicememos,None,False,com.apple.voicememos,/System/Applications/VoiceMemos.app,VoiceMemos
voiceover utility,None,True,com.apple.voiceoverutility,/System/Applications/Utilities/VoiceOver Utility.app,VoiceOver Utility
weather,None,False,com.apple.weather,/System/Applications/Weather.app,Weather
xcode,None,False,com.apple.dt.xcode,/Applications/Xcode.app,Xcode
zoom.us,zoom,False,us.zoom.xos,/Applications/zoom.us.app,zoom.us
