Application name, Spoken forms, Exclude from Launch List, Unique Id, Path, Executable Name, Application Group, Default for Applcation Group
Stocks,None,False,com.apple.stocks,/System/Applications/Stocks.app,Stocks
Mail,None,False,com.apple.mail,/System/Applications/Mail.app,Mail
Dictionary,None,False,com.apple.Dictionary,/System/Applications/Dictionary.app,Dictionary
Contacts,None,False,com.apple.AddressBook,/System/Applications/Contacts.app,Contacts
Time Machine,None,False,com.apple.backup.launcher,/System/Applications/Time Machine.app,Time Machine
AirPort Utility,None,False,com.apple.airport.airportutility,/System/Applications/Utilities,AirPort Utility
VoiceOver Utility,None,False,com.apple.VoiceOverUtility,/System/Applications/Utilities,VoiceOver Utility
VoiceOver Utility,None,False,com.apple.VoiceOverUtilityCacheBuilder,/System/Applications/Utilities,VoiceOver Utility
Terminal,None,False,com.apple.Terminal,/System/Applications/Utilities,Terminal
Activity Monitor,None,False,com.apple.ActivityMonitor,/System/Applications/Utilities,Activity Monitor
com.apple.activitymonitor.helper,None,False,com.apple.activitymonitor.helper,/System/Applications/Utilities,com.apple.activitymonitor.helper
Screenshot,None,False,com.apple.screenshot.launcher,/System/Applications/Utilities,Screenshot
Grapher,None,False,com.apple.grapher,/System/Applications/Utilities,Grapher
Audio MIDI Setup,None,False,com.apple.audio.AudioMIDISetup,/System/Applications/Utilities,Audio MIDI Setup
Screen Sharing,None,False,com.apple.ScreenSharing,/System/Applications/Utilities,Screen Sharing
System Information,None,False,com.apple.SystemProfiler,/System/Applications/Utilities,System Information
Print Center,None,False,com.apple.printcenter,/System/Applications/Utilities,Print Center
Migration Assistant,None,False,com.apple.MigrateAssistant,/System/Applications/Utilities,Migration Assistant
Script Editor,None,False,com.apple.ScriptEditor2,/System/Applications/Utilities,Script Editor
ColorSync Utility,None,False,com.apple.ColorSyncUtility,/System/Applications/Utilities,ColorSync Utility
Devices,None,False,com.apple.ColorSyncUtility.Devices,/System/Applications/Utilities,Devices
FirstAid,None,False,com.apple.ColorSyncUtility.FirstAid,/System/Applications/Utilities,FirstAid
Filters,None,False,com.apple.ColorSyncUtility.Filters,/System/Applications/Utilities,Filters
Profiles,None,False,com.apple.ColorSyncUtility.Profiles,/System/Applications/Utilities,Profiles
Calculator,None,False,com.apple.ColorSyncUtility.Calculator,/System/Applications/Utilities,Calculator
Console,None,False,com.apple.Console,/System/Applications/Utilities,Console
Disk Utility,None,False,com.apple.DiskUtility,/System/Applications/Utilities,Disk Utility
Bluetooth File Exchange,None,False,com.apple.BluetoothFileExchange,/System/Applications/Utilities,Bluetooth File Exchange
Boot Camp Assistant,None,False,com.apple.bootcampassistant,/System/Applications/Utilities,Boot Camp Assistant
bootcampassistantinstalld,None,False,com.apple.bootcampassistant.installd,/System/Applications/Utilities,bootcampassistantinstalld
Digital Color Meter,None,False,com.apple.DigitalColorMeter,/System/Applications/Utilities,Digital Color Meter
Font Book,None,False,com.apple.FontBook,/System/Applications/Font Book.app,Font Book
FaceTime,None,False,com.apple.FaceTime,/System/Applications/FaceTime.app,FaceTime
Shortcuts,None,False,com.apple.shortcuts,/System/Applications/Shortcuts.app,Shortcuts
Maps,None,False,com.apple.Maps,/System/Applications/Maps.app,Maps
Mission Control,None,False,com.apple.exposelauncher,/System/Applications/Mission Control.app,Mission Control
Stickies,None,False,com.apple.Stickies,/System/Applications/Stickies.app,Stickies
Photos,None,False,com.apple.Photos,/System/Applications/Photos.app,Photos
Messages,None,False,com.apple.MobileSMS,/System/Applications/Messages.app,Messages
iPhone Mirroring,None,False,com.apple.ScreenContinuity,/System/Applications/iPhone Mirroring.app,iPhone Mirroring
Calculator,None,False,com.apple.calculator,/System/Applications/Calculator.app,Calculator
VoiceMemos,None,False,com.apple.VoiceMemos,/System/Applications/VoiceMemos.app,VoiceMemos
Launchpad,None,False,com.apple.launchpad.launcher,/System/Applications/Launchpad.app,Launchpad
Reminders,None,False,com.apple.reminders,/System/Applications/Reminders.app,Reminders
App Store,None,False,com.apple.AppStore,/System/Applications/App Store.app,App Store
Clock,None,False,com.apple.clock,/System/Applications/Clock.app,Clock
Automator,None,False,com.apple.Automator,/System/Applications/Automator.app,Automator
Tips,None,False,com.apple.helpviewer,/System/Applications/Tips.app,Tips
Calendar,None,False,com.apple.iCal,/System/Applications/Calendar.app,Calendar
Gmail,None,False,com.apple.Safari.WebApp.85038FE5-E720-4773-8851-EC5FA8FF4971,/Users/knausj/Applications/Gmail.app,None
Chrome Apps,None,False,com.google.Chrome.app.fmgjjmmmlfnkbppncabfkddbjimcfncm,/Users/knausj/Applications/Chrome Apps.localized,app_mode_loader
Chrome Apps,None,False,com.google.Chrome.app.Profile-2-knipolnnllmklapflnccelgolnpehhpl,/Users/knausj/Applications/Chrome Apps.localized,app_mode_loader
Chrome Apps,None,False,com.google.Chrome.app.nabnijjbhmmgnnohmlablhajenhllcda,/Users/knausj/Applications/Chrome Apps.localized,app_mode_loader
Slack,None,False,com.apple.Safari.WebApp.A240B276-0EFC-4A6C-B441-34814CCA8028,/Users/knausj/Applications/Slack.app,None
Discord,None,False,com.apple.Safari.WebApp.75652608-4A3F-4B48-9317-3C2516AA5CE1,/Users/knausj/Applications/Discord.app,None
